Namespace(barcodes='/Users/akim/Desktop/uST_barcodes_trim.tsv', directory='', dont_build_reference=True, fiveprimemismatches=1, ignore_no_match=False, ignore_space_warning=False, inputfastq='/Users/akim/Desktop/4000.fq.gz', outputprefix='local2', sbatchcompression=False, threads=2, trim_sequences=None, ultra=False)
Demultiplexing...
Demultiplexing complete! 1000 reads processed in 46.0 seconds
         144059 function calls (140604 primitive calls) in 48.213 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16   46.217    2.889   46.217    2.889 {built-in method posix.read}
        1    0.782    0.782    0.782    0.782 {built-in method mkl._py_mkl_service.get_version}
    41/40    0.274    0.007    0.279    0.007 {built-in method _imp.create_dynamic}
      163    0.178    0.001    0.178    0.001 {method 'read' of '_io.FileIO' objects}
      163    0.164    0.001    0.342    0.002 <frozen importlib._bootstrap_external>:830(get_data)
      913    0.044    0.000    0.044    0.000 {built-in method posix.stat}
      163    0.042    0.000    0.042    0.000 {built-in method marshal.loads}
        1    0.041    0.041    0.041    0.041 linalg.py:2170(lstsq)
        2    0.038    0.019    0.038    0.019 {built-in method posix.system}
      324    0.025    0.000    0.025    0.000 {built-in method builtins.compile}
    41/36    0.022    0.001    0.081    0.002 {built-in method _imp.exec_dynamic}
      170    0.020    0.000    0.020    0.000 {built-in method posix.getcwd}
  537/534    0.016    0.000    0.045    0.000 {built-in method builtins.__build_class__}
        1    0.013    0.013    0.019    0.019 __main__.py:817(process_bcs)
        1    0.013    0.013    0.013    0.013 {method 'dot' of 'numpy.ndarray' objects}
    495/1    0.013    0.000   48.215   48.215 {built-in method builtins.exec}
        1    0.011    0.011    0.011    0.011 {built-in method time.sleep}
      449    0.010    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       21    0.009    0.000    0.009    0.000 {built-in method posix.listdir}
      912    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x104295d58}
     8211    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
      163    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
    11792    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
      220    0.004    0.000    0.104    0.000 <frozen importlib._bootstrap>:870(_find_spec)
     16/5    0.004    0.000    0.051    0.010 {built-in method numpy.core._multiarray_umath.implement_array_function}
      163    0.004    0.000    0.407    0.002 <frozen importlib._bootstrap_external>:743(get_code)
     3332    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     9245    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
   118/44    0.003    0.000    0.008    0.000 sre_parse.py:470(_parse)
        5    0.003    0.001    0.003    0.001 {built-in method posix.remove}
     2265    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        3    0.003    0.001    0.004    0.001 chunks.py:41(read_chunks)
   223/10    0.003    0.000    1.878    0.188 <frozen importlib._bootstrap>:966(_find_and_load)
      547    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      612    0.003    0.000    0.003    0.000 _inspect.py:65(getargs)
     2265    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      547    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
   209/11    0.003    0.000    1.867    0.170 <frozen importlib._bootstrap>:651(_load_unlocked)
      165    0.002    0.000    0.015    0.000 abc.py:132(__new__)
      364    0.002    0.000    0.005    0.000 functools.py:44(update_wrapper)
        1    0.002    0.002    0.003    0.003 linalg.py:477(inv)
        1    0.002    0.002    0.013    0.013 scimath.py:17(<module>)
        2    0.002    0.001    0.002    0.001 {built-in method zlib.compressobj}
      326    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      215    0.002    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        1    0.002    0.002    0.003    0.003 contextlib.py:49(inner)
   231/41    0.002    0.000    0.009    0.000 sre_compile.py:64(_compile)
1201/1159    0.002    0.000    0.003    0.000 typing.py:1164(__setattr__)
        2    0.002    0.001    0.002    0.001 {built-in method posix.fork}
       80    0.002    0.000    0.003    0.000 sre_compile.py:250(_optimize_charset)
      547    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      209    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        6    0.002    0.000    0.005    0.001 getlimits.py:35(__init__)
